uniqueid,plotid,date,year,method,subsample,position,co2_c_flux_kg_ha_day,co2_r2,n2o_n_flux_g_ha_day,n2o_r2,nh3_n_flux_g_ha_day,nh3_r2,ch4_c_flux_g_ha_day,ch4_r2,soil_moisture_5cm,soil_temperature_5cm,soil_nitrate_n_0_10cm,soil_ammonium_n_0_10cm,month,day_of_year,quarter,is_growing_season,season
ARL,101.0,2012-03-30,2012.0,GC,1.0,on_fert_band,2.984506596,0.942435695,0.503507,0.870626,,,3.45695,0.943104,40.7,5.8,,,3,90,1,0,spring
ARL,101.0,2012-03-30,2012.0,GC,1.0,off_fert_band,1.472908153,0.846152895,0.207834,0.983907,,,-1.85711,0.908718,45.2,5.8,,,3,90,1,0,spring
ARL,104.0,2012-03-30,2012.0,GC,1.0,on_fert_band,1.117083558,0.99376197,-0.0400279,0.248658,,,2.13949,0.991144,43.0,5.6,,,3,90,1,0,spring
ARL,104.0,2012-03-30,2012.0,GC,1.0,off_fert_band,0.750623347,0.970923314,0.16051,0.981919,,,0.985466,0.997018,46.5,5.6,,,3,90,1,0,spring
ARL,105.0,2012-03-30,2012.0,GC,1.0,off_fert_band,2.055329265,0.936295383,0.102638,0.615613,,,1.55295,0.755802,44.0,6.1,,,3,90,1,0,spring
ARL,105.0,2012-03-30,2012.0,GC,1.0,on_fert_band,3.87322776,0.925966813,0.728958,0.944502,,,-0.000871387,4.57956e-07,43.6,6.1,,,3,90,1,0,spring
ARL,111.0,2012-03-30,2012.0,GC,1.0,off_fert_band,9.705300197,0.982001,1.59566,0.966028,,,0.161308,0.0158651,42.2,5.7,,,3,90,1,0,spring
ARL,111.0,2012-03-30,2012.0,GC,1.0,on_fert_band,-4.391605781,0.90723053,-0.249432,0.668652,,,1.525,0.811132,42.4,5.7,,,3,90,1,0,spring
ARL,113.0,2012-03-30,2012.0,GC,1.0,off_fert_band,-1.275402123,0.768649848,-0.141226,0.782022,,,0.612907,0.976429,40.5,6.1,,,3,90,1,0,spring
ARL,113.0,2012-03-30,2012.0,GC,1.0,on_fert_band,1.914773865,0.818961796,0.676212,0.872429,,,0.263166,0.437087,42.7,6.1,,,3,90,1,0,spring
ARL,114.0,2012-03-30,2012.0,GC,1.0,off_fert_band,1.122116006,0.876849787,0.240575,0.936194,,,3.02849,0.885844,43.7,6.0,,,3,90,1,0,spring
ARL,114.0,2012-03-30,2012.0,GC,1.0,on_fert_band,0.824914673,0.819337393,0.194076,0.846188,,,1.13328,0.75649,42.1,6.0,,,3,90,1,0,spring
ARL,203.0,2012-03-30,2012.0,GC,1.0,off_fert_band,5.235651511,0.949890691,1.67846,0.921519,,,2.28548,0.976171,43.2,6.1,,,3,90,1,0,spring
ARL,203.0,2012-03-30,2012.0,GC,1.0,on_fert_band,2.546672184,0.911495979,0.322215,0.892537,,,0.307869,0.14938,43.8,6.2,,,3,90,1,0,spring
ARL,204.0,2012-03-30,2012.0,GC,1.0,on_fert_band,5.07321095,0.993509658,1.55364,0.99291,,,-3.25605,0.917114,45.7,6.4,,,3,90,1,0,spring
ARL,204.0,2012-03-30,2012.0,GC,1.0,off_fert_band,4.09934328,0.981933551,3.5105,0.968139,,,-2.16503,0.777019,45.2,6.4,,,3,90,1,0,spring
ARL,205.0,2012-03-30,2012.0,GC,1.0,on_fert_band,4.353775908,0.789393313,3.67256,0.760959,,,-0.280321,0.0980719,45.7,6.4,,,3,90,1,0,spring
ARL,205.0,2012-03-30,2012.0,GC,1.0,off_fert_band,6.884368265,0.968769525,3.01867,0.962141,,,-0.44914,0.431493,43.2,6.6,,,3,90,1,0,spring
ARL,206.0,2012-03-30,2012.0,GC,1.0,off_fert_band,1.640995589,0.98024456,0.703001,0.990145,,,-2.17575,0.999985,45.9,6.3,,,3,90,1,0,spring
ARL,206.0,2012-03-30,2012.0,GC,1.0,on_fert_band,5.040944256,0.942956967,1.93318,0.904702,,,2.62777,0.958475,44.6,6.1,,,3,90,1,0,spring
ARL,207.0,2012-03-30,2012.0,GC,1.0,on_fert_band,4.730321071,0.993886437,1.05951,0.975059,,,-2.97222,0.92794,44.8,6.1,,,3,90,1,0,spring
ARL,207.0,2012-03-30,2012.0,GC,1.0,off_fert_band,4.667272274,0.932438783,-0.197641,0.667738,,,-2.19276,0.940539,42.3,6.2,,,3,90,1,0,spring
ARL,214.0,2012-03-30,2012.0,GC,1.0,off_fert_band,1.403112424,0.775412986,0.61723,0.822626,,,0.0819389,0.00989932,41.6,6.5,,,3,90,1,0,spring
ARL,214.0,2012-03-30,2012.0,GC,1.0,on_fert_band,-0.555994496,0.853842807,0.177072,0.757,,,-2.84113,0.762668,46.6,6.4,,,3,90,1,0,spring
ARL,301.0,2012-03-30,2012.0,GC,1.0,off_fert_band,7.466630784,0.996296761,6.41552,0.998636,,,-1.52078,0.945043,46.5,6.2,,,3,90,1,0,spring
ARL,301.0,2012-03-30,2012.0,GC,1.0,on_fert_band,3.61144824,0.971234729,1.05309,0.972393,,,0.46279,0.847409,41.4,6.3,,,3,90,1,0,spring
ARL,302.0,2012-03-30,2012.0,GC,1.0,off_fert_band,9.197336738,0.99062591,1.39327,0.972664,,,1.09924,0.922856,41.2,6.7,,,3,90,1,0,spring
ARL,302.0,2012-03-30,2012.0,GC,1.0,on_fert_band,10.23612768,0.856930427,10.9977,0.838214,,,0.0888302,0.95691,42.6,6.8,,,3,90,1,0,spring
ARL,304.0,2012-03-30,2012.0,GC,1.0,off_fert_band,2.74984656,0.975446814,1.03803,0.9921,,,4.02874,0.983567,39.8,6.5,,,3,90,1,0,spring
ARL,304.0,2012-03-30,2012.0,GC,1.0,on_fert_band,6.734757938,0.989255475,3.4511,0.942362,,,-1.17865,0.977613,43.3,6.5,,,3,90,1,0,spring
ARL,305.0,2012-03-30,2012.0,GC,1.0,on_fert_band,3.145592282,0.912472668,1.0621,0.900977,,,-1.27923,0.691495,39.4,6.3,,,3,90,1,0,spring
ARL,305.0,2012-03-30,2012.0,GC,1.0,off_fert_band,-1.972207993,0.999779048,0.303335,0.858797,,,-0.982823,0.996039,38.2,6.3,,,3,90,1,0,spring
ARL,308.0,2012-03-30,2012.0,GC,1.0,on_fert_band,4.304736955,0.949703497,1.06694,0.888112,,,0.221895,0.184705,42.3,6.4,,,3,90,1,0,spring
ARL,308.0,2012-03-30,2012.0,GC,1.0,off_fert_band,-7.616070094,0.303550587,0.922995,0.958415,,,0.253945,0.17846,42.5,6.3,,,3,90,1,0,spring
ARL,309.0,2012-03-30,2012.0,GC,1.0,off_fert_band,7.578790562,0.483401804,0.531426,0.792087,,,-1.43949,0.764404,44.4,6.6,,,3,90,1,0,spring
ARL,309.0,2012-03-30,2012.0,GC,1.0,on_fert_band,7.302632578,0.3038476,1.04569,0.880362,,,0.290221,0.963894,44.4,6.6,,,3,90,1,0,spring
ARL,101.0,2012-04-06,2012.0,GC,1.0,off_fert_band,0.87109399,0.079497512,1.04767,0.989374,,,-1.5992,0.774045,26.7,5.8,,,4,97,2,1,spring
ARL,101.0,2012-04-06,2012.0,GC,1.0,on_fert_band,7.196693834,0.497890122,2.77523,0.970707,,,-0.612024,0.503407,21.4,5.7,,,4,97,2,1,spring
ARL,104.0,2012-04-06,2012.0,GC,1.0,on_fert_band,-12.4647082,0.996025317,0.494024,0.997743,,,-2.93308,0.869868,32.7,6.0,,,4,97,2,1,spring
ARL,104.0,2012-04-06,2012.0,GC,1.0,off_fert_band,3.099191422,0.973423795,0.809801,0.889876,,,-1.38448,0.759798,35.7,6.3,,,4,97,2,1,spring
ARL,105.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-1.94160617,0.203681908,0.357439,0.807611,,,4.61886,0.999928,29.7,6.5,,,4,97,2,1,spring
ARL,105.0,2012-04-06,2012.0,GC,1.0,on_fert_band,19.97842252,0.990035429,1.82137,0.988239,,,-0.820176,0.881363,25.3,6.2,,,4,97,2,1,spring
ARL,111.0,2012-04-06,2012.0,GC,1.0,on_fert_band,-15.0717272,0.946868037,0.0568538,0.989447,,,3.97285,0.998343,30.4,5.7,,,4,97,2,1,spring
ARL,111.0,2012-04-06,2012.0,GC,1.0,off_fert_band,9.796199374,0.846047833,0.157046,0.941531,,,-3.75375,0.978882,28.6,5.7,,,4,97,2,1,spring
ARL,113.0,2012-04-06,2012.0,GC,1.0,off_fert_band,2.753075059,0.746403969,1.76803,0.976862,,,6.84519,0.936767,34.9,6.3,,,4,97,2,1,spring
ARL,113.0,2012-04-06,2012.0,GC,1.0,on_fert_band,33.87238022,0.913330071,1.92776,0.994298,,,5.30217,0.9813,30.5,6.0,,,4,97,2,1,spring
ARL,114.0,2012-04-06,2012.0,GC,1.0,off_fert_band,44.62471802,0.953784373,1.30379,0.955749,,,4.84702,0.906394,26.6,5.8,,,4,97,2,1,spring
ARL,114.0,2012-04-06,2012.0,GC,1.0,on_fert_band,-33.10887012,0.829176197,2.33681,0.999025,,,0.736736,0.222709,33.6,6.1,,,4,97,2,1,spring
ARL,203.0,2012-04-06,2012.0,GC,1.0,on_fert_band,-8.948478636,0.687528308,1.02295,0.874577,,,-5.79664,0.998851,31.4,6.4,,,4,97,2,1,spring
ARL,203.0,2012-04-06,2012.0,GC,1.0,off_fert_band,8.234995524,0.985428999,2.54049,0.995048,,,-5.82044,0.860609,26.9,5.9,,,4,97,2,1,spring
ARL,204.0,2012-04-06,2012.0,GC,1.0,on_fert_band,7.693633606,0.997232388,3.81714,0.99952,,,3.79518,0.88475,36.0,6.2,,,4,97,2,1,spring
ARL,204.0,2012-04-06,2012.0,GC,1.0,off_fert_band,28.20635167,0.767065663,3.79891,0.996073,,,2.21254,0.898171,36.5,6.1,,,4,97,2,1,spring
ARL,205.0,2012-04-06,2012.0,GC,1.0,off_fert_band,0.696954139,0.659110967,2.1009,0.980468,,,1.32658,0.87677,27.7,6.3,,,4,97,2,1,spring
ARL,205.0,2012-04-06,2012.0,GC,1.0,on_fert_band,21.03695199,0.841562877,1.86696,0.975959,,,3.67931,0.658707,31.8,6.4,,,4,97,2,1,spring
ARL,206.0,2012-04-06,2012.0,GC,1.0,on_fert_band,34.61182627,0.785403692,2.96016,0.994741,,,0.15939,0.0536632,35.0,6.0,,,4,97,2,1,spring
ARL,206.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-14.20385859,0.696369494,0.793266,0.987102,,,-3.0016,0.961147,31.7,6.2,,,4,97,2,1,spring
ARL,207.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-3.022021987,0.773083246,0.792937,0.822756,,,-6.52153,0.88822,31.8,5.4,,,4,97,2,1,spring
ARL,207.0,2012-04-06,2012.0,GC,1.0,on_fert_band,0.495979982,0.733859864,0.341262,0.923493,,,-0.309646,0.793769,32.1,5.9,,,4,97,2,1,spring
ARL,214.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-24.46938816,0.481653026,5.39108,0.96838,,,2.70413,0.845953,34.2,6.3,,,4,97,2,1,spring
ARL,214.0,2012-04-06,2012.0,GC,1.0,on_fert_band,-21.0589264,0.991300399,0.822192,0.959044,,,-1.95214,0.8068,30.4,6.9,,,4,97,2,1,spring
ARL,301.0,2012-04-06,2012.0,GC,1.0,on_fert_band,1.783262556,0.691442495,0.58675,0.948253,,,0.702997,0.999995,34.0,5.8,,,4,97,2,1,spring
ARL,301.0,2012-04-06,2012.0,GC,1.0,off_fert_band,26.07874697,0.988785416,6.48123,0.988868,,,1.8175,0.999265,34.9,5.8,,,4,97,2,1,spring
ARL,302.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-2.087432721,0.579381406,7.08735,0.866865,,,6.28784,0.967722,26.0,7.0,,,4,97,2,1,spring
ARL,302.0,2012-04-06,2012.0,GC,1.0,on_fert_band,-1.564027265,0.952712495,8.37314,0.996675,,,1.76643,0.985148,31.3,7.0,,,4,97,2,1,spring
ARL,304.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-23.89186359,0.999950053,1.70154,0.821655,,,1.58193,0.959948,36.9,6.4,,,4,97,2,1,spring
ARL,304.0,2012-04-06,2012.0,GC,1.0,on_fert_band,57.64723747,0.809786148,1.64792,0.93432,,,7.28297,0.974697,39.9,6.5,,,4,97,2,1,spring
ARL,305.0,2012-04-06,2012.0,GC,1.0,off_fert_band,22.54789441,0.817040821,2.20363,0.978206,,,-1.42667,0.301478,32.8,7.0,,,4,97,2,1,spring
ARL,305.0,2012-04-06,2012.0,GC,1.0,on_fert_band,1.724236008,0.843747475,0.96695,0.90224,,,-3.4945,0.969954,30.4,5.9,,,4,97,2,1,spring
ARL,308.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-59.49820073,0.956111836,2.34012,0.996857,,,-5.01116,0.701035,34.6,6.3,,,4,97,2,1,spring
ARL,308.0,2012-04-06,2012.0,GC,1.0,on_fert_band,4.373661014,0.996629737,2.87155,0.974472,,,-2.52692,0.994615,35.1,6.4,,,4,97,2,1,spring
ARL,309.0,2012-04-06,2012.0,GC,1.0,on_fert_band,5.612845042,0.839067022,1.30758,0.981153,,,1.69626,0.650677,33.5,6.4,,,4,97,2,1,spring
ARL,309.0,2012-04-06,2012.0,GC,1.0,off_fert_band,-5.219061293,0.309835476,1.53916,0.990737,,,-8.26337,0.958964,36.2,6.3,,,4,97,2,1,spring
ARL,101.0,2012-04-13,2012.0,GC,1.0,on_fert_band,1.773782934,0.985747483,1.22418,0.959682,,,-1.36855,0.874862,23.0,7.7,,,4,104,2,1,spring
ARL,101.0,2012-04-13,2012.0,GC,1.0,off_fert_band,-2.70014249,0.999999837,0.244605,0.837273,,,-1.77498,0.753503,19.3,7.9,,,4,104,2,1,spring
