feature,importance
numeric__day_of_year,0.3715482942341873
categorical__uniqueid_FREEMAN,0.15527826954447638
numeric__year,0.06818743063262064
numeric__n2o_n_flux_g_ha_day,0.057843203695484624
categorical__uniqueid_BRADFORD.A,0.05692401418107466
numeric__soil_ammonium_n_0_10cm,0.05148476609044279
categorical__uniqueid_MASON,0.033866289799291426
numeric__soil_nitrate_n_0_10cm,0.0264883151856326
categorical__uniqueid_MAR,0.02458967373501256
categorical__uniqueid_HICKS.P,0.020536976135407094
categorical__uniqueid_KELLOGG,0.018314630786041716
categorical__method_PAS,0.015201831367125189
numeric__ch4_c_flux_g_ha_day,0.015057725250383947
categorical__uniqueid_SERF,0.014091059081361466
categorical__season_summer,0.013241129071723742
numeric__plotid,0.00901000766631698
numeric__co2_c_flux_kg_ha_day,0.008394176131604003
categorical__position_on_and_off_fert_band,0.007447788053895171
categorical__method_GC,0.006390878363844383
numeric__n2o_r2,0.005804337238613064
numeric__month,0.005060006142590683
categorical__uniqueid_WATERMAN,0.0037545898307686045
categorical__season_fall,0.00312759156687405
numeric__co2_r2,0.0020193851153048714
categorical__uniqueid_LAN,0.0018118894591778625
categorical__uniqueid_WOOSTER.COV,0.0011985671000804162
numeric__nh3_n_flux_g_ha_day,0.001058683296348114
categorical__uniqueid_ARL,0.0008760855669895304
categorical__position_on_broadcast,0.0007471046549790584
numeric__nh3_r2,0.0004970570186282417
categorical__season_spring,8.639339567547039e-05
categorical__uniqueid_HICKS.B,6.185060804330074e-05
categorical__position_on_fert_band,0.0
categorical__position_off_fert_band,0.0
categorical__uniqueid_HICKS.G,0.0
categorical__uniqueid_WOOSTER.LTR,0.0
categorical__uniqueid_ISUAG,0.0
categorical__uniqueid_HOYTVILLE.LTR,0.0
numeric__is_growing_season,0.0
numeric__quarter,0.0
numeric__ch4_r2,0.0
numeric__subsample,0.0
categorical__season_winter,0.0
